"","OB_END_TIME","MAX_AIR_TEMP"
"416","1980-02-01 21:00",1.2
"417","1980-03-01 21:00",5.9
"418","1980-04-01 21:00",7.6
"419","1980-05-01 21:00",9.5
"420","1980-06-01 21:00",13
"421","1980-07-01 21:00",12.3
"422","1980-08-01 21:00",13.5
"423","1980-09-01 21:00",14.4
"424","1980-10-01 21:00",11.4
"425","1980-11-01 21:00",8.7
"426","1980-12-01 21:00",8.5
"427","1981-01-01 21:00",1.7
"428","1981-02-01 21:00",8.5
"429","1981-03-01 21:00",2.8
"430","1981-04-01 21:00",6.8
"431","1981-05-01 21:00",7.1
"432","1981-06-01 21:00",13.1
"433","1981-07-01 21:00",12.4
"434","1981-08-01 21:00",13.4
"435","1981-09-01 21:00",11.4
"436","1981-10-01 21:00",8
"437","1981-11-01 21:00",7.6
"438","1981-12-01 21:00",7
"439","1982-01-01 21:00",4.5
"440","1982-02-01 21:00",8.4
"441","1982-03-01 21:00",7
"442","1982-04-01 21:00",8.4
"443","1982-05-01 21:00",3.6
"444","1982-06-01 21:00",16.8
"445","1982-07-01 21:00",12.2
"446","1982-08-01 21:00",13.9
"447","1982-09-01 21:00",12.9
"448","1982-10-01 21:00",11
"449","1982-11-01 21:00",10.2
"450","1982-12-01 21:00",8.3
"451","1983-01-01 21:00",7.6
"452","1983-02-01 21:00",2.9
"453","1983-03-01 21:00",5.9
"454","1983-04-01 21:00",6.6
"455","1983-05-01 21:00",6.6
"456","1983-06-01 21:00",11.9
"457","1983-07-01 21:00",10.8
"458","1983-08-01 21:00",12.5
"459","1983-09-01 21:00",13
"460","1983-10-01 21:00",10.7
"461","1983-11-01 21:00",8.7
"462","1983-12-01 21:00",9
"463","1984-01-01 21:00",3.4
"464","1984-02-01 21:00",5.2
"465","1984-03-01 21:00",0.9
"466","1984-04-01 21:00",6.3
"467","1984-05-01 21:00",13.4
"468","1984-06-01 21:00",12.6
"469","1984-07-01 21:00",11.6
"470","1984-08-01 21:00",15.8
"471","1984-09-01 21:00",12.4
"472","1984-10-01 21:00",11.2
"473","1984-11-01 21:00",12.4
"474","1984-12-01 21:00",7.9
"475","1985-01-01 21:00",6.4
"476","1985-02-01 21:00",2.3
"477","1985-03-01 21:00",5
"478","1985-04-01 21:00",5.5
"479","1985-05-01 21:00",9.1
"480","1985-06-01 21:00",17.2
"481","1985-07-01 21:00",14.3
"482","1985-08-01 21:00",13.4
"483","1985-09-01 21:00",11.4
"484","1985-10-01 21:00",13
"485","1985-11-01 21:00",4.5
"486","1985-12-01 21:00",5.9
"487","1986-01-01 21:00",2
"488","1986-02-01 21:00",4.5
"489","1986-03-01 21:00",5.4
"490","1986-04-01 21:00",7.9
"491","1986-05-01 21:00",14.8
"492","1986-06-01 21:00",11
"493","1986-07-01 21:00",16.3
"494","1986-08-01 21:00",12
"495","1986-09-01 21:00",12.5
"496","1986-10-01 21:00",12.5
"497","1986-11-01 21:00",4.3
"498","1986-12-01 21:00",8.6
"499","1987-01-01 21:00",4.1
"500","1987-02-01 21:00",4.7
"501","1987-03-01 21:00",4.5
"502","1987-04-01 21:00",5.7
"503","1987-05-01 21:00",8.8
"504","1987-06-01 21:00",13
"505","1987-07-01 21:00",13.4
"506","1987-08-01 21:00",13.8
"507","1987-09-01 21:00",14.4
"508","1987-10-01 21:00",12
"509","1987-11-01 21:00",8.7
"510","1987-12-01 21:00",7.5
"511","1988-01-01 21:00",7.7
"512","1988-02-01 21:00",6.2
"513","1988-03-01 21:00",2.4
"514","1988-04-01 21:00",8.7
"515","1988-05-01 21:00",8.7
"516","1988-06-01 21:00",10.5
"517","1988-07-01 21:00",16.7
"518","1988-08-01 21:00",11.5
"519","1988-09-01 21:00",14
"520","1988-10-01 21:00",11.8
"521","1988-11-01 21:00",7
"522","1988-12-01 21:00",5.2
"523","1989-01-01 21:00",11
"524","1989-02-01 21:00",7.6
"525","1989-03-01 21:00",5.5
"526","1989-04-01 21:00",8.6
"527","1989-05-01 21:00",10.9
"528","1989-06-01 21:00",8.4
"529","1989-07-01 21:00",11.6
"530","1989-08-01 21:00",11.4
"531","1989-09-01 21:00",13.3
"532","1989-10-01 21:00",9.6
"533","1989-11-01 21:00",8.9
"534","1989-12-01 21:00",7.1
"535","1990-01-01 21:00",6.2
"536","1990-02-01 21:00",7.2
"537","1990-03-01 21:00",1.1
"538","1990-04-01 21:00",6
"539","1990-05-01 21:00",12
"540","1990-06-01 21:00",10.3
"541","1990-07-01 21:00",13
"542","1990-08-01 21:00",15.9
"543","1990-09-01 21:00",15.5
"544","1990-10-01 21:00",10.6
"545","1990-11-01 21:00",8.8
"546","1990-12-01 21:00",8.8
"547","1991-01-01 21:00",6.2
"548","1991-02-01 21:00",3.8
"549","1991-03-01 21:00",4
"550","1991-04-01 21:00",8.2
"551","1991-05-01 21:00",10.8
"552","1991-06-01 21:00",9
"553","1991-07-01 21:00",14.7
"554","1991-08-01 21:00",18.3
"555","1991-09-01 21:00",14.9
"556","1991-10-01 21:00",11.8
"557","1991-11-01 21:00",10.3
"558","1991-12-01 21:00",5.8
"559","1992-01-01 21:00",6.2
"560","1992-02-01 21:00",7.8
"561","1992-03-01 21:00",8.1
"562","1992-04-01 21:00",4.2
"563","1992-05-01 21:00",10.3
"564","1992-06-01 21:00",16.2
"565","1992-07-01 21:00",12
"566","1992-08-01 21:00",13
"567","1992-09-01 21:00",13.8
"568","1992-10-01 21:00",11.3
"569","1992-11-01 21:00",8.1
"570","1992-12-01 21:00",5.6
"571","1993-01-01 21:00",7.5
"572","1993-02-01 21:00",8.2
"573","1993-03-01 21:00",4.8
"574","1993-04-01 21:00",5.6
"575","1993-05-01 21:00",10.8
"576","1993-06-01 21:00",8.8
"577","1993-07-01 21:00",12.4
"578","1993-08-01 21:00",13.5
"579","1993-09-01 21:00",11.8
"580","1993-10-01 21:00",10
"581","1993-11-01 21:00",7.9
"582","1993-12-01 21:00",6.5
"583","1994-01-01 21:00",3.4
"584","1994-02-01 21:00",6.2
"585","1994-03-01 21:00",1.3
"586","1994-04-01 21:00",8.5
"587","1994-05-01 21:00",7.3
"588","1994-06-01 21:00",11.1
"589","1994-07-01 21:00",15.6
"590","1994-08-01 21:00",16.6
"591","1994-09-01 21:00",14.9
"592","1994-10-01 21:00",7.8
"593","1994-11-01 21:00",7.7
"594","1994-12-01 21:00",8.6
"595","1995-01-01 21:00",-0.1
"596","1995-02-01 21:00",5.8
"597","1995-03-01 21:00",2.9
"598","1995-04-01 21:00",6.8
"599","1995-05-01 21:00",9.7
"600","1995-06-01 21:00",11.6
"601","1995-07-01 21:00",11.9
"602","1995-08-01 21:00",18
"603","1995-09-01 21:00",15.5
"604","1995-10-01 21:00",11
"605","1995-11-01 21:00",7.7
"606","1995-12-01 21:00",8.6
"607","1996-01-01 21:00",3
"608","1996-02-01 21:00",3.1
"609","1996-03-01 21:00",5.8
"610","1996-04-01 21:00",6.4
"611","1996-05-01 21:00",7.5
"612","1996-06-01 21:00",11.3
"613","1996-07-01 21:00",12.6
"614","1996-08-01 21:00",14.2
"615","1996-09-01 21:00",13
"616","1996-10-01 21:00",9.8
"617","1996-11-01 21:00",11.9
"618","1996-12-01 21:00",7.5
"619","1997-01-01 21:00",4.1
"620","1997-02-01 21:00",5.3
"621","1997-03-01 21:00",8.1
"622","1997-04-01 21:00",7.9
"623","1997-05-01 21:00",13.3
"624","1997-06-01 21:00",12.7
"625","1997-07-01 21:00",11.2
